title,playcount,date,devices,traffic,content
Tokyo 2020: Today At The Paralympics,61,2021-08-28,Tablet,Direct traffic,IH000403377
Tokyo 2020: Today At The Paralympics,61,2021-08-31,Desktop,Direct traffic,IH000403380
Tokyo 2020: Today At The Paralympics,61,2021-09-01,Tablet,Direct traffic,IH000403381
Tokyo 2020: Athletics,61,2021-08-30,Desktop,Direct traffic,PI000017098
Tokyo 2020: Athletics,61,2021-09-01,Smartphone,Direct traffic,PI000017114
Tokyo 2020: Cycling - Road,61,2021-09-01,Desktop,Search engines,PI000017110
Tokyo 2020: Cycling - Road,61,2021-09-02,Smartphone,Direct traffic,PI000017116
Tokyo 2020: Canoe Sprint,61,2021-09-04,Desktop,Search engines,PI000017125
Tokyo 2020,60,2021-08-31,Desktop,Search engines,PI000017158
Tokyo 2020: Today At The Paralympics,60,2021-08-29,Tablet,Direct traffic,IH000403378
Tokyo 2020: Today At The Paralympics,60,2021-09-01,Smart TV,Direct traffic,IH000403381
Tokyo 2020: Today At The Paralympics,60,2021-09-04,Tablet,Direct traffic,IH000403384
Tokyo 2020: Swimming,60,2021-08-26,Desktop,Search engines,PI000017078
Tokyo 2020: Cycling,60,2021-08-26,Tablet,Direct traffic,PI000017070
Tokyo 2020: Paralympics Live,59,2021-09-04,Tablet,Direct traffic,IH000403370
Tokyo 2020: Paralympics Live,59,2021-09-04,Desktop,Search engines,IH000403370
Tokyo 2020,58,2021-09-04,Desktop,Direct traffic,PI000017127
Tokyo 2020: Today At The Paralympics,58,2021-09-04,Smart TV,Direct traffic,IH000403384
Tokyo 2020: Goalball,58,2021-08-27,Desktop,Search engines,PI000017076
Tokyo 2020: Equestrian,58,2021-08-30,Desktop,Search engines,PI000017100
Tokyo 2020: Athletics,58,2021-08-29,Desktop,Direct traffic,PI000017088
Tokyo 2020: Athletics,58,2021-09-01,Desktop,Search engines,PI000017110
Tokyo 2020: Today At The Paralympics,57,2021-08-25,Desktop,Search engines,IH000403374
Tokyo 2020: Today At The Paralympics,57,2021-09-03,Smart TV,Direct traffic,IH000403383
Tokyo 2020: Today At The Paralympics,57,2021-09-05,Smartphone,Direct traffic,IH000403385
Tokyo 2020: Swimming,57,2021-08-29,Desktop,Direct traffic,PI000017095
Tokyo 2020: Róisín Ní Riain on her S13 100m butterfly final,57,2021-08-25,Smartphone,Direct traffic,rINqpgeQieZ5
Tokyo 2020: Wheelchair Rugby,57,2021-08-29,Smartphone,Direct traffic,PI000017092
Tokyo 2020,56,2021-08-28,Desktop,Direct traffic,PI000017087
Tokyo 2020,56,2021-08-31,Desktop,Direct traffic,PI000017158
Tokyo 2020: Today At The Paralympics,56,2021-09-02,Smartphone,Direct traffic,IH000403382
Tokyo 2020: Table Tennis,56,2021-08-30,Desktop,Search engines,PI000017099
Tokyo 2020: Today At The Paralympics E3,56,2021-08-26,Desktop,Direct traffic,IH000403375
Tokyo 2020: Triathlon,56,2021-08-27,Desktop,Search engines,PI000017080
Tokyo 2020: Wheelchair Basketball,56,2021-09-03,Desktop,Search engines,PI000017123
Tokyo 2020: Paralympics Live,55,2021-08-25,Desktop,Search engines,IH000403360
Tokyo 2020: Paralympics Live,55,2021-08-30,Undefined,-,IH000403365
Tokyo 2020: Today At The Paralympics,55,2021-08-30,Desktop,Direct traffic,IH000403379
Tokyo 2020: Swimming,55,2021-08-28,Smartphone,Direct traffic,PI000017085
Tokyo 2020: Cycling - Road,55,2021-09-03,Smartphone,Search engines,PI000017122
Tokyo 2020: Sitting Volleyball,55,2021-09-04,Desktop,Direct traffic,PI000017127
Tokyo 2020,54,2021-08-28,Desktop,Search engines,PI000017087
Tokyo 2020: Today At The Paralympics,54,2021-08-25,Desktop,Search engines,IH000403374
Tokyo 2020: Today At The Paralympics,54,2021-09-01,Smartphone,Direct traffic,IH000403381
Tokyo 2020: Today At The Paralympics,54,2021-09-02,Smart TV,Direct traffic,IH000403382
Tokyo 2020: Goalball,54,2021-09-03,Desktop,Direct traffic,PI000017175
Tokyo 2020: Cycling - Track,54,2021-08-25,Desktop,Direct traffic,PI000017065
Tokyo 2020: Equestrian,54,2021-08-26,Desktop,Search engines,PI000017071
Tokyo 2020: Wheelchair Basketball,54,2021-08-30,Desktop,Search engines,PI000017102
Tokyo 2020: Wheelchair Basketball,54,2021-09-05,Smartphone,Direct traffic,PI000017136
Tokyo 2020: Paralympics Live,53,2021-08-26,Tablet,Direct traffic,IH000403361
Tokyo 2020: Paralympics Live,53,2021-09-02,Tablet,Direct traffic,IH000403368
Tokyo 2020: Swimming,53,2021-08-29,Desktop,Direct traffic,PI000017088
