title,playcount,cuml hours spent,date,devices,traffic,content
Tokyo 2020: Wheelchair Basketball,3,0.8397222222,2021-08-30,Desktop,Direct traffic,PI000017102
Tokyo 2020: Cycling - Road,3,0.0305555556,2021-08-30,Tablet,Direct traffic,PI000017098
Tokyo 2020: Today At The Paralympics,3,0.0711111111,2021-08-28,Tablet,Direct traffic,IH000403377
Tokyo 2020: Today At The Paralympics,3,0.0036111111,2021-09-03,Tablet,Direct traffic,IH000403383
Tokyo 2020: Swimming,3,0.0055555556,2021-09-01,Smartphone,Direct traffic,PI000017114
Tokyo 2020: Cycling,3,0.0672222222,2021-08-27,Desktop,Search engines,PI000017076
Tokyo 2020: Equestrian,3,0.2244444444,2021-08-27,Desktop,Direct traffic,PI000017080
Tokyo 2020: Athletics,3,0.2386111111,2021-08-30,Desktop,Search engines,PI000017157
Tokyo 2020: Athletics,3,1.273888889,2021-09-01,Desktop,Direct traffic,PI000017110
Tokyo 2020: Athletics,3,0.2272222222,2021-09-03,Desktop,Search engines,PI000017122
Tokyo 2020: Today At The Paralympics,2,0.0005555556,2021-08-24,Desktop,Search engines,IH000403373
Tokyo 2020: Paralympics Live,2,0.0086111111,2021-08-27,Smartphone,Search engines,IH000403362
Tokyo 2020: Today At The Paralympics,2,0,2021-08-28,Desktop,Direct traffic,IH000403377
Tokyo 2020: Athletics,2,0.0113888889,2021-09-03,Desktop,Direct traffic,PI000017120
Tokyo 2020: Sitting Volleyball,2,1.944166667,2021-09-04,Smartphone,Direct traffic,PI000017127
Tokyo 2020,2,3.408055556,2021-08-31,Desktop,Direct traffic,PI000017107
Tokyo 2020: Today At The Paralympics,2,0.0133333333,2021-08-27,Desktop,Search engines,IH000403376
Tokyo 2020: Athletics,2,0.9366666667,2021-08-30,Desktop,Search engines,PI000017098
Tokyo 2020: Today At The Paralympics,2,0.4536111111,2021-08-28,Tablet,Direct traffic,IH000403377
Tokyo 2020: Today At The Paralympics,2,0.0997222222,2021-08-31,Desktop,Direct traffic,IH000403380
Tokyo 2020: Today At The Paralympics,2,0.0583333333,2021-09-01,Tablet,Direct traffic,IH000403381
Tokyo 2020: Athletics,2,0.4838888889,2021-08-30,Desktop,Direct traffic,PI000017098
Tokyo 2020: Athletics,2,0.1255555556,2021-09-01,Smartphone,Direct traffic,PI000017114
Tokyo 2020: Cycling - Road,2,0.0044444444,2021-09-01,Desktop,Search engines,PI000017110
Tokyo 2020: Cycling - Road,1,0.0002777778,2021-09-02,Smartphone,Direct traffic,PI000017116
Tokyo 2020: Canoe Sprint,1,0.0013888889,2021-09-04,Desktop,Search engines,PI000017125
Tokyo 2020,1,0.0005555556,2021-08-31,Desktop,Search engines,PI000017158
Tokyo 2020: Today At The Paralympics,1,0.0277777778,2021-08-29,Tablet,Direct traffic,IH000403378
Tokyo 2020: Today At The Paralympics,1,0.0013888889,2021-09-01,Smart TV,Direct traffic,IH000403381
Tokyo 2020: Today At The Paralympics,1,0.0241666667,2021-09-04,Tablet,Direct traffic,IH000403384
Tokyo 2020: Swimming,1,0.0183333333,2021-08-26,Desktop,Search engines,PI000017078
Tokyo 2020: Cycling,1,0.0075,2021-08-26,Tablet,Direct traffic,PI000017070
Tokyo 2020: Paralympics Live,1,0.0002777778,2021-09-04,Tablet,Direct traffic,IH000403370
Tokyo 2020: Paralympics Live,1,0.0055555556,2021-09-04,Desktop,Search engines,IH000403370
Tokyo 2020,1,0,2021-09-04,Desktop,Direct traffic,PI000017127
Tokyo 2020: Today At The Paralympics,1,0,2021-09-04,Smart TV,Direct traffic,IH000403384
Tokyo 2020: Goalball,1,0.0166666667,2021-08-27,Desktop,Search engines,PI000017076
Tokyo 2020: Equestrian,1,0.0255555556,2021-08-30,Desktop,Search engines,PI000017100
Tokyo 2020: Athletics,1,0.1588888889,2021-08-29,Desktop,Direct traffic,PI000017088
Tokyo 2020: Athletics,1,0.0211111111,2021-09-01,Desktop,Search engines,PI000017110
Tokyo 2020: Today At The Paralympics,1,0,2021-08-25,Desktop,Search engines,IH000403374
Tokyo 2020: Today At The Paralympics,1,0.0013888889,2021-09-03,Smart TV,Direct traffic,IH000403383
Tokyo 2020: Today At The Paralympics,1,0.0008333333,2021-09-05,Smartphone,Direct traffic,IH000403385
Tokyo 2020: Swimming,1,0.0011111111,2021-08-29,Desktop,Direct traffic,PI000017095
Tokyo 2020: Róisín Ní Riain on her S13 100m butterfly final,1,0.0652777778,2021-08-25,Smartphone,Direct traffic,rINqpgeQieZ5
Tokyo 2020: Wheelchair Rugby,1,0.0058333333,2021-08-29,Smartphone,Direct traffic,PI000017092
Tokyo 2020,1,0.0180555556,2021-08-28,Desktop,Direct traffic,PI000017087
Tokyo 2020,1,0.7508333333,2021-08-31,Desktop,Direct traffic,PI000017158
Tokyo 2020: Today At The Paralympics,1,0,2021-09-02,Smartphone,Direct traffic,IH000403382
